epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,618.286,1.56646,18.0511,1.47287,0.5469,0.13618,0.18888,0.08323,1.47651,41.0091,1.36552,0.000368363,0.000368363,0.000368363
2,1182.08,1.73347,13.7696,1.59304,0.64658,0.15462,0.23651,0.11857,1.64748,33.9993,1.51763,0.000724071,0.000724071,0.000724071
3,1842.82,1.81351,11.4523,1.67071,0.40111,0.22535,0.19092,0.08631,1.57736,21.8116,1.51899,0.00106511,0.00106511,0.00106511
4,2421.23,1.75888,8.96946,1.66583,0.48895,0.21127,0.20342,0.09555,1.7644,17.9952,1.78594,0.00104501,0.00104501,0.00104501
5,2939.59,1.81211,6.23024,1.7369,0.26441,0.23944,0.18871,0.09263,1.82094,10.9182,1.70893,0.00102301,0.00102301,0.00102301
6,3458.14,1.89687,4.79811,1.82126,0.39781,0.29577,0.25735,0.13153,1.50747,7.77763,1.65315,0.00100101,0.00100101,0.00100101
7,3980.93,1.82049,4.14004,1.73193,0.52885,0.19718,0.2052,0.11178,1.64047,6.23036,1.51784,0.000979013,0.000979013,0.000979013
8,4508.03,1.64461,3.64998,1.57614,0.36834,0.29577,0.25482,0.11606,1.57053,5.30259,1.65065,0.000957015,0.000957015,0.000957015
9,5035.63,1.79313,3.50586,1.74756,0.41371,0.25352,0.24629,0.10837,1.56353,5.10481,1.59166,0.000935018,0.000935018,0.000935018
10,5560.25,1.6993,3.19691,1.70136,0.2882,0.42254,0.28116,0.15982,1.48609,4.30768,1.58561,0.00091302,0.00091302,0.00091302
11,6082.24,1.65224,3.01936,1.61899,0.72372,0.53521,0.55818,0.30161,1.38354,3.29503,1.423,0.000891022,0.000891022,0.000891022
12,6604.51,1.66743,2.68646,1.64323,0.62947,0.39437,0.36181,0.1991,1.49265,3.20729,1.51469,0.000869024,0.000869024,0.000869024
13,7126.2,1.45829,2.47938,1.46019,0.68766,0.53521,0.58437,0.33266,1.33497,2.86016,1.45162,0.000847026,0.000847026,0.000847026
14,7646.7,1.63656,2.46955,1.62578,0.66372,0.64789,0.64432,0.33283,1.43516,3.07155,1.47257,0.000825029,0.000825029,0.000825029
15,8171.95,1.53156,2.44073,1.51022,0.67766,0.53302,0.5759,0.31544,1.40139,2.31077,1.40892,0.000803031,0.000803031,0.000803031
16,8698.43,1.54513,2.32586,1.5985,0.5841,0.43662,0.48104,0.25529,1.50751,2.87111,1.65027,0.000781033,0.000781033,0.000781033
17,9221.08,1.45194,2.0918,1.52354,0.51571,0.50704,0.50325,0.26256,1.44194,2.57772,1.54023,0.000759035,0.000759035,0.000759035
18,9744.93,1.55196,2.25093,1.59464,0.77169,0.57132,0.69482,0.38451,1.41411,2.695,1.47963,0.000737037,0.000737037,0.000737037
19,10270.6,1.49201,2.12521,1.49262,0.67929,0.59668,0.62876,0.31823,1.44786,2.31307,1.51647,0.00071504,0.00071504,0.00071504
20,10802,1.43833,1.98189,1.50347,0.77106,0.5693,0.62921,0.33414,1.38348,2.2065,1.38831,0.000693042,0.000693042,0.000693042
21,11333.6,1.4031,1.91566,1.46727,0.81765,0.60563,0.67864,0.38648,1.28628,2.11239,1.36149,0.000671044,0.000671044,0.000671044
22,11865.4,1.36587,1.78135,1.44932,0.73109,0.71831,0.74975,0.42059,1.3339,1.73805,1.36492,0.000649046,0.000649046,0.000649046
23,12403.7,1.36279,1.7665,1.43398,0.93893,0.5493,0.7203,0.43573,1.29642,2.04625,1.42997,0.000627048,0.000627048,0.000627048
24,12938.1,1.33049,1.67718,1.44499,0.75979,0.66829,0.72841,0.4182,1.38975,1.8651,1.44946,0.000605051,0.000605051,0.000605051
25,13471.9,1.38718,1.72535,1.42677,0.59752,0.66915,0.68214,0.35206,1.34029,1.96944,1.39576,0.000583053,0.000583053,0.000583053
26,14004,1.2783,1.73708,1.35246,0.80947,0.59846,0.70646,0.39646,1.31302,2.27674,1.36358,0.000561055,0.000561055,0.000561055
27,14536.5,1.31506,1.59912,1.33511,0.90847,0.64789,0.75581,0.42646,1.35501,1.75055,1.37627,0.000539057,0.000539057,0.000539057
28,15061.8,1.23228,1.54694,1.3121,0.911,0.64789,0.77,0.43895,1.23049,1.99357,1.30146,0.000517059,0.000517059,0.000517059
29,15585,1.23201,1.56619,1.29615,0.87481,0.68898,0.78834,0.45864,1.31199,1.66757,1.36851,0.000495062,0.000495062,0.000495062
